region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"low_comp","rookie","cash_guardian","survive6","conservative",1,180,"won",5199606.841799961,2018398,9433015,0.21397167289567545,5260208.841799961,7,0,25,95.32571428571433,67,1,0,"excellent",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",2,180,"won",4434353.513000011,1905083,13325458,0.14296566767161023,4756028.113000011,7,0,22,95.19999999999996,84,0,0,"excellent",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",3,180,"won",8106227.3800000055,2277000,14938394,0.1524260238416526,7907698.580000006,5,2,59,94.55999999999976,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",4,180,"won",6257028.296200027,2263000,11774980,0.19218716295059524,6776890.696200026,8,0,38,96.59999999999985,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",5,180,"won",5649292.417200023,2259000,11668622,0.19359612471806867,5766292.417200023,8,0,27,95.09999999999988,94,0,0,"excellent",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",6,180,"won",6262652.910399991,2074808,13349891,0.1554175985406922,6643651.3103999905,7,0,45,95.27714285714268,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",7,180,"won",8011804.774400002,660000,14511697,0.04548055268794546,7792602.374400003,0,2,60,95.19714285714271,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","conservative",8,180,"won",6665595.496199999,490023,14527746,0.03373014643840827,7834504.496199999,3,0,61,96.42571428571412,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",1,180,"won",14046047.59660001,4456977,20534128,0.21705216798103139,14112764.196600012,10,8,149,97,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",2,180,"won",6641446.854199988,5457376,14282064,0.38211395775848644,9090421.254199987,24,0,96,95.40000000000002,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",3,180,"won",9535860.909999998,5179904,17634047,0.2937444819104769,12533875.309999999,23,1,142,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",4,180,"won",14389616.164599992,1325670,19468213,0.06809407725300724,15970298.964599993,5,4,164,99.05000000000004,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",5,180,"won",5637849.975000003,3902487,15406206,0.2533061676573713,7445206.175000003,13,3,101,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",6,180,"won",8917351.1318,5267322,18752206,0.2808907922619877,9642040.331799999,16,8,126,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",7,180,"won",11273023.138800057,7206450,13236513,0.5444371942973198,12765592.338800054,27,0,112,98.60142857142876,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","balanced",8,180,"won",15528478.7264,1539608,19580590,0.07862929564430898,15629916.3264,0,8,178,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",1,180,"won",15324236.638200002,4504738,19607605,0.22974442824608104,20679262.6382,27,0,254,89.98571428571391,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",2,180,"won",14444934.224200001,855889,22046906,0.038821274967108764,20209288.424200002,11,12,287,95.25428571428543,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",3,180,"won",13863374.868000016,4670344,18576069,0.25141724010607414,17182472.468000017,22,6,234,95.35714285714256,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",4,180,"won",14588092.895599997,5092763,23274732,0.2188108116561772,17669203.4956,17,6,274,92.03428571428503,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",5,180,"won",11625841.548800014,2240028,20632246,0.10856927549235308,18018244.748800013,20,6,261,95.14571428571357,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",6,180,"won",16697596.409199996,4855227,25469736,0.19062729978826637,18996511.0092,11,12,266,95.27999999999929,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",7,180,"won",9000330.70260001,5486475,10262577,0.5346098743035009,12598441.302600011,30,0,139,97.3514285714284,78,1,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","survive6","aggressive",8,180,"won",20351246.560400005,683961,26458668,0.025850167514101616,24710663.960400004,7,12,325,95.23142857142788,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","cash_guardian","double12","conservative",1,360,"won",12340203.20319999,4620000,14549218,0.3175428397594977,9799203.20319999,7,0,58,95.12857142857126,100,0,0,"regional_star",false,false,true,12
