region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgSales,avgInventory,avgCsi,avgTrust
"capital","hardcore","double12","aggressive",40,0.275,0.05,0.675,12495066.218052138,12711109.208764309,6372526.201893708,0.5376683022871703,245.95,21.525,98.54792357142826,49.875
"capital","hardcore","double12","balanced",40,0.275,0.125,0.6,9286492.014810003,10411169.724810004,7764439.35,0.7090566948858508,153.725,21.8,95.60562071428588,52.925
"capital","hardcore","double12","conservative",40,0.325,0,0.675,4361950.775154997,5749524.4501549965,4444305.375,0.4209371221699893,48.15,10.025,94.2016949999998,50.55
"low_comp","hardcore","double12","aggressive",40,0.425,0.05,0.525,15843812.90703648,14588039.434161246,5295360.96471355,0.41541213901130536,293.175,22.1,97.469531428571,58.475
"low_comp","hardcore","double12","balanced",40,0.55,0,0.45,12016302.350812163,12756755.917844988,7578975.321912828,0.5918783030879264,193.2,22.05,96.06303571428582,66.95
"low_comp","hardcore","double12","conservative",40,0.475,0,0.525,6037501.884335002,6652203.379335003,3553831.475,0.31803113648534326,69,9.175,94.7944521428569,64.675
"nev_hot","hardcore","double12","aggressive",40,0.25,0.075,0.675,8390828.037690632,8817048.003097577,6656647.480790082,0.6370666366565922,208.7,23.6,98.57600071428548,43.05
"nev_hot","hardcore","double12","balanced",40,0.175,0.275,0.55,6939523.693849584,7959066.951047102,8233077.597197521,0.792509707567431,140.25,22.325,95.29376785714307,54.825
"nev_hot","hardcore","double12","conservative",40,0.1,0,0.9,2843696.634009999,3534635.5690099993,3808693.775,0.39829916991841574,30.6,10.075,94.61218571428559,30.65
"tier1","hardcore","double12","aggressive",40,0.175,0.175,0.65,5603365.859407846,7116563.783351593,7654375.599753747,0.769008964988483,169.1,20.45,98.40722928571405,45.2
"tier1","hardcore","double12","balanced",40,0.25,0.325,0.425,7126337.8102950035,8225947.305295003,8536551.075,0.8174998288950744,140.575,23.75,95.32725785714294,59.4
"tier1","hardcore","double12","conservative",40,0.075,0,0.925,2747008.419435,3663800.2594349994,3940327.6,0.41531462827708615,29.2,10.1,94.13580928571417,30.975
"capital","rookie","double12","aggressive",40,0.45,0.075,0.475,17900863.199670006,17463434.524670005,6096988.125,0.4917315120133858,244.375,21.075,97.81892857142815,61.175
"capital","rookie","double12","balanced",40,0.3,0,0.7,13164842.17831999,14001093.958319988,5632059.6,0.4688432531231113,138.825,15.775,94.79810714285722,52.4
"capital","rookie","double12","conservative",40,0.35,0,0.65,6466726.817014999,7086603.537015,2725521.4,0.2489654941001406,39.375,6.875,94.99478571428557,49.65
"low_comp","rookie","double12","aggressive",40,0.65,0.025,0.325,28529854.233340003,25720769.893340003,4445713.1,0.31262207659992786,342.575,21.675,97.068428571428,69.85
"low_comp","rookie","double12","balanced",40,0.7,0,0.3,20431838.073410004,20911410.18341,5336542.35,0.3573530658330312,215.1,14.675,95.6518214285715,76.85
"low_comp","rookie","double12","conservative",40,0.525,0,0.475,8831046.222380001,9462799.24738,2673023.825,0.23053681562541448,63.375,6.35,94.91735714285687,62.4
"nev_hot","rookie","double12","aggressive",40,0.35,0.05,0.6,16611665.015700007,15040318.015700003,5575183.2,0.48560519807836033,238.7,22.5,98.43507142857104,54.9
"nev_hot","rookie","double12","balanced",40,0.45,0,0.55,14514911.443290014,15382075.983290013,5732311.6,0.4581606018428757,163.25,14.975,95.37771428571442,57.925
"nev_hot","rookie","double12","conservative",40,0.325,0,0.675,6116218.155049996,6678065.385049997,2753064.65,0.2486910596862076,37.6,7,94.82657142857126,48.225
"tier1","rookie","double12","aggressive",40,0.275,0.225,0.5,13345188.999814996,13629624.509814993,7116625.95,0.6355068615482995,206.275,21.25,98.05099999999975,58.6
"tier1","rookie","double12","balanced",40,0.225,0.025,0.75,11999003.127564993,12801914.30256499,5979686.475,0.5094236430369145,138.025,17.3,94.58714285714295,53.45
"tier1","rookie","double12","conservative",40,0.175,0,0.825,5073181.893795001,5882404.673795002,2968106.7,0.28702783781277585,27.9,7.2,94.58171428571418,37.375
"capital","standard","double12","aggressive",40,0.3,0.1,0.6,15865572.883920005,14278078.283920001,5529837.6,0.4781460128626399,259.675,22.475,97.95449999999964,56
"capital","standard","double12","balanced",40,0.275,0.025,0.7,10417950.103030007,11142497.598030008,7100486.275,0.6299679310931043,144.925,20.8,95.04296428571446,51.3
"capital","standard","double12","conservative",40,0.425,0,0.575,6077230.4556150045,6885213.7506150035,2907326.075,0.2584888556636293,55.9,6.425,94.69042857142838,61.575
"low_comp","standard","double12","aggressive",40,0.575,0.075,0.35,23880069.273565013,21227380.90356501,5179396.45,0.3829852340204074,344.55,23.825,97.43792857142796,72.35
"low_comp","standard","double12","balanced",40,0.625,0,0.375,16947403.654015005,16578768.969015002,6008318.875,0.446220639583726,221.875,19.4,96.1154285714287,70.2
"low_comp","standard","double12","conservative",40,0.575,0,0.425,7312305.09720999,8196314.562209989,3093486.925,0.26265091651735817,64.625,6.875,95.23549999999975,68.775
"nev_hot","standard","double12","aggressive",40,0.15,0.2,0.65,10961007.000645477,10456718.509109458,6803852.54846398,0.6261685942735562,201.95,22.4,97.85092857142828,51.475
"nev_hot","standard","double12","balanced",40,0.35,0,0.65,10263611.483210001,11725543.048209999,7270407.525,0.6274615427908428,150.5,18.55,94.77246428571439,53.775
"nev_hot","standard","double12","conservative",40,0.125,0,0.875,3811472.9808000014,4759526.365800001,3470500.525,0.34524652947249057,27.95,8.225,94.78807142857133,35.375
"tier1","standard","double12","aggressive",40,0.1,0.3,0.6,9838128.972834995,9918206.722834993,7305991.45,0.6926299594018764,190.675,23.1,97.80592857142827,51.925
"tier1","standard","double12","balanced",40,0.175,0.075,0.75,8629064.095329996,9606232.890329998,7368661.975,0.6825695256289184,135.7,20.925,95.3667857142859,49.725
"tier1","standard","double12","conservative",40,0.175,0,0.825,3993367.9237749977,4930883.6737750005,3296250.25,0.32274514575276464,28.7,7.775,94.05035714285708,37.8
"capital","hardcore","star12","aggressive",40,0.225,0,0.775,9222715.732859846,8503846.7659516,5281346.45027663,0.4975116220847166,202.85,22.075,98.03983071428542,43.025
"capital","hardcore","star12","balanced",40,0.525,0.075,0.4,11607189.123710008,12417743.363710005,7825704.4,0.6354680993625534,191.75,22.325,94.87558928571443,67.625
"capital","hardcore","star12","conservative",40,0.425,0,0.575,5292513.206905003,5974595.4319050005,3813455.425,0.3592474556474449,61.7,10.15,94.93742785714264,55.125
"low_comp","hardcore","star12","aggressive",40,0.45,0,0.55,16907766.508547813,15474174.525984045,4613239.794159876,0.34820877312111137,313.925,20.475,97.60485857142814,62.225
"low_comp","hardcore","star12","balanced",40,0.55,0.05,0.4,13392617.546004914,13487535.411113422,7133766.785108507,0.5687256212196523,215.025,22.35,96.42660714285724,68.375
"low_comp","hardcore","star12","conservative",40,0.4,0,0.6,5579517.940735,6394487.810735002,3516035.75,0.34267261544789734,63.875,8.5,94.535294285714,53.15
"nev_hot","hardcore","star12","aggressive",40,0.25,0.225,0.525,8787556.259699993,8539619.909753066,6831888.797160436,0.6545648462663702,205.65,23.775,97.51746285714259,51
"nev_hot","hardcore","star12","balanced",40,0.35,0.15,0.5,8757040.548262022,9336899.14874523,8151164.780483211,0.7194881230727086,164.425,23.475,95.19867000000016,60.2
"nev_hot","hardcore","star12","conservative",40,0.175,0,0.825,2871259.7289099977,3653355.128909999,3846312.8,0.39402363139932034,28.8,9.975,94.37376928571419,31.475
"tier1","hardcore","star12","aggressive",40,0.1,0.225,0.675,6306745.198425626,6553278.210079356,7517702.46969373,0.7685658480638484,177.525,23.65,98.05638642857119,49.025
"tier1","hardcore","star12","balanced",40,0.3,0.275,0.425,7139003.441575006,7867826.876575005,8197930.475,0.8051243448468934,140.75,23.8,95.15212571428583,58.875
"tier1","hardcore","star12","conservative",40,0.2,0,0.8,2920018.554934999,3841885.249934999,3871947.075,0.39549164637516754,32.2,9.725,94.76000857142847,30.1
"capital","rookie","star12","aggressive",40,0.275,0.05,0.675,20696252.314689983,18988672.074689984,5269921.2,0.422869895933699,271.475,22.125,97.64307142857098,53.85
"capital","rookie","star12","balanced",40,0.45,0,0.55,17224695.823295005,17586080.898295,5825598.975,0.44479321474896344,177.175,17.425,95.47639285714291,60.75
"capital","rookie","star12","conservative",40,0.375,0,0.625,5836514.967920006,6506437.532920007,2689575.425,0.24971865398848686,36.25,6.575,95.1165714285713,48.475
"low_comp","rookie","star12","aggressive",40,0.525,0.025,0.45,24689194.150574997,22904425.715575002,4793839.125,0.35045838830411535,294.975,20.8,97.44378571428533,66.2
"low_comp","rookie","star12","balanced",40,0.7,0,0.3,19763355.48265997,20666751.65765997,5380610.075,0.36829775430175954,211.325,13,96.06826785714298,75.775
"low_comp","rookie","star12","conservative",40,0.525,0,0.475,8091424.651710001,8782747.71671,2755066.225,0.23966658667068766,56.425,6.475,94.87692857142837,63.625
