region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgMaxCreditUsage,avgMinCash,avgMinTrust,avgMinCsi,avgMaxInventoryAndTransit,avgSales,avgInventory,avgCsi,avgTrust
"capital","hardcore","double12","aggressive",10,0,0,1,9106691.219615746,9155221.514515428,5564073.339519682,0.5432793133770811,0.9619641552484136,156571.64870034804,37.7,78.91656571428571,29.8,197.2,20.4,97.90328857142836,37.7
"capital","hardcore","double12","balanced",10,0.4,0.2,0.4,9695306.409400031,12231658.089400033,8705634,0.7036923600073376,0.8074060640864749,1430021.3478399997,60.2,79.58042857142858,29.3,163.7,19.3,96.0107714285716,67.1
"capital","hardcore","double12","conservative",10,0.1,0,0.9,2748297.482400001,3386909.6224000007,3966915.5,0.42831164796212207,0.4925062784553704,1299152.136679999,25.3,78.72950285714286,12.2,33,11,94.78169999999982,29.7
"low_comp","hardcore","double12","aggressive",10,0.4,0,0.6,17224287.958480757,17166952.820590846,5835058,0.41632948534766834,0.9347455324357405,360128.0721399999,53,79.63109999999999,29.9,318.2,19.1,97.28349999999952,57.5
"low_comp","hardcore","double12","balanced",10,0.5,0,0.5,9936269.087799981,10777997.447799979,7538261.4,0.6420511881887089,0.932577038481887,1252161.9126999998,51.4,79.82914285714286,29.1,162.6,21.8,95.33024285714292,57.4
"low_comp","hardcore","double12","conservative",10,0.5,0,0.5,6392525.683259996,7890996.323259996,4512164.4,0.40082732311394054,0.5581313658001743,1445735.4243399997,44.1,79.58254571428573,12,70.6,10,95.075774285714,69.4
"nev_hot","hardcore","double12","aggressive",10,0.2,0.1,0.7,8228102.658110531,9333432.234542504,7047926.196819231,0.653030894531877,0.9868161205416642,898.8,45.4,80,29.9,210.3,20.6,98.37729999999974,46.2
"nev_hot","hardcore","double12","balanced",10,0.2,0.3,0.5,5143278.216727575,6906870.468252109,8142789.851524535,0.8207944696072074,0.9081747994643343,436932.8739800008,49.6,79.74657142857143,27.9,105.3,20.1,95.58252285714296,49.6
"nev_hot","hardcore","double12","conservative",10,0.1,0,0.9,2462562.587500003,3211752.6675000032,3643438.8,0.39319458583257416,0.4841579750496858,1069802.9939600008,24.3,79.65571428571428,11.6,29.3,9.6,95.14100571428563,27.7
"tier1","hardcore","double12","aggressive",10,0,0,1,6123990.204751533,5174206.478560174,5599408.965568639,0.5865266695536971,0.9473663172079618,432967.05868000054,40.9,79.95828571428572,29.9,139.1,22.3,98.90277142857136,40.9
"tier1","hardcore","double12","balanced",10,0.1,0.2,0.7,6848791.410519998,7279503.750519998,8066532.9,0.8020883952160691,0.8543973785218526,1431293.9615800001,46.3,79.58071428571428,29.4,125.6,25.1,96.47577142857155,46.3
"tier1","hardcore","double12","conservative",10,0.1,0,0.9,2618634.2484399965,4036125.0884399964,4434879,0.4473409365944743,0.4673696880013346,1404029.4209600005,27.8,79.38414857142857,11.8,27,10.1,94.87440857142848,37.3
"capital","rookie","double12","aggressive",10,0.2,0.1,0.7,17326331.98241998,16550456.622419978,5589296.4,0.48728335129882927,0.6374267199353398,2966417.6440000003,45.1,91.41571428571403,29.8,249.4,19.9,98.23171428571403,50.7
"capital","rookie","double12","balanced",10,0.2,0,0.8,12909641.002020003,15457164.402020002,7114723.4,0.5566309579644467,0.5715420673805319,3372020.302780001,49.3,90.37428571428583,22.9,132.2,15.6,95.30500000000015,54.9
"capital","rookie","double12","conservative",10,0.4,0,0.6,6910785.199500002,8199056.699500004,3218191.5,0.2902432814327625,0.32573868017245655,3323320.0038599996,41.6,88.43199999999986,8,42.7,6.4,94.69542857142828,61.8
"low_comp","rookie","double12","aggressive",10,0.6,0,0.4,17811732.89153998,16337049.99153998,5717198.3,0.43335439552306887,0.6372909760325781,2992894.8002799996,53.2,89.79771428571405,29.8,228.8,23.4,99.21542857142836,63.2
"low_comp","rookie","double12","balanced",10,0.4,0,0.6,18875343.65762002,19215536.617620025,5452115.6,0.4027644188108071,0.48656676532911075,3408650.545959999,50.6,90.5875714285715,24.9,195.6,15.8,95.93828571428587,59
"low_comp","rookie","double12","conservative",10,0.5,0,0.5,9141472.20384001,8786913.083840009,1799430.4,0.15573372239760835,0.2596693374546746,3327628.84384,45.7,89.90428571428558,8.3,68.6,6.5,94.6534285714283,61.5
"nev_hot","rookie","double12","aggressive",10,0.5,0,0.5,14969752.247760007,16099241.447760012,6930493.6,0.5412250898946672,0.710500160291458,1892968.7683400002,47.9,91.49828571428539,29.1,222,17.7,98.01485714285685,55.6
"nev_hot","rookie","double12","balanced",10,0.3,0,0.7,13441510.347239986,13175109.827239987,5659951.8,0.4794359196625805,0.5311292930203397,2609861.609119999,46.4,89.40442857142878,22.4,148.8,19.2,94.67042857142883,52
"nev_hot","rookie","double12","conservative",10,0.2,0,0.8,6374339.80525999,7289355.325259989,2985089.2,0.2741035884653164,0.3139652516035724,3088956.0281599998,33.5,89.1159999999999,8,40.6,6.8,95.22971428571415,44.3
"tier1","rookie","double12","aggressive",10,0.1,0.1,0.8,13487792.658319976,13959821.258319978,6109429.4,0.5483044901120071,0.6832868023260878,3050984.344059999,40.2,90.81457142857117,29.5,197.9,18.5,98.39942857142843,40.2
"tier1","rookie","double12","balanced",10,0.1,0,0.9,12089531.060939997,12734505.78094,6770815.2,0.5870772234319285,0.6057993863360247,3356601.5087000006,40.6,89.8528571428572,24.3,135.8,20.6,94.99871428571437,41
"tier1","rookie","double12","conservative",10,0.2,0,0.8,5377403.714199993,6009831.274199994,2665495.4,0.25294455247425524,0.3000180134442959,3146276.561159999,30.4,89.86085714285704,8,34.2,6.8,94.57228571428554,44.1
"capital","standard","double12","aggressive",10,0.3,0,0.7,14662601.659520004,13589245.039520005,5974599.3,0.5033381723101128,0.778745156982866,1967256.2146399997,44.4,89.48428571428568,30,251.9,23.4,98.7911428571426,47.8
"capital","standard","double12","balanced",10,0.3,0,0.7,10373491.94181999,12271933.94181999,7244442,0.6373873346232217,0.6695587088933354,2321986.86356,46.6,88.82728571428576,26.7,136.1,18,95.0860000000001,48.2
"capital","standard","double12","conservative",10,0.5,0,0.5,6287959.337220008,7167592.457220008,3226991.2,0.2823599488603043,0.38146841174811214,2388538.848840002,41.9,88.30385714285714,10.8,49.5,7.7,95.0255714285712,64.4
"low_comp","standard","double12","aggressive",10,0.5,0,0.5,23052058.089579977,20431993.049579978,5421824.4,0.3904291579582818,0.8560810471720416,1899278.4500000004,58.6,89.14342857142847,29.8,341.2,24.9,96.29257142857101,71.8
"low_comp","standard","double12","balanced",10,0.6,0,0.4,16694425.591380015,17031998.771380015,6670780.3,0.5012685043644478,0.6103946377103913,2274325.418379999,58.4,88.99628571428585,25.5,206.4,20.1,95.14300000000021,70.2
"low_comp","standard","double12","conservative",10,0.5,0,0.5,6263590.2681599995,7880715.18816,3801986.2,0.337703318213131,0.4060416754197709,2426732.1910200007,46,89.24571428571419,10.7,50.4,7.1,94.82857142857128,63.3
"nev_hot","standard","double12","aggressive",10,0.2,0.3,0.5,12196663.943217732,11510562.66321773,6868503.6,0.6666493350862629,0.8983199077939718,915992.4986399997,53.3,89.23542857142849,29.9,234.8,22.9,97.47914285714242,55.5
"nev_hot","standard","double12","balanced",10,0.2,0.1,0.7,8170891.26540001,8881374.725400008,7338180.5,0.6942473453109729,0.7473052985240273,1692679.1462799995,50.2,89.4301428571429,26.5,122,21.5,95.0795714285715,52.3
"nev_hot","standard","double12","conservative",10,0.2,0,0.8,4838528.543139983,5353441.383139984,3061579.8,0.31111932049710567,0.3936760601257303,2150423.9469999983,28.9,89.31971428571423,10.9,39.9,8.1,94.74228571428556,37.3
"tier1","standard","double12","aggressive",10,0.2,0.4,0.4,10318101.534019995,9838801.874019993,7157181.3,0.7107484947830355,0.8835826758256247,2099125.69016,54.5,88.5162857142856,29.5,192.6,23.1,97.66685714285691,60.3
"tier1","standard","double12","balanced",10,0.5,0,0.5,10543303.174060006,12153176.094060007,6918604.2,0.5680427699312227,0.6316893726796302,2336234.3333000005,59.2,89.65242857142859,26.9,159.3,17.2,95.16328571428578,68.6
"tier1","standard","double12","conservative",10,0.1,0,0.9,4063877.49845999,4701351.578459991,3041930,0.3016918874185562,0.385803771573837,2428729.598600001,29.8,88.13628571428568,10.8,28.1,8,95.03114285714273,35.6
"capital","hardcore","star12","aggressive",10,0.3,0,0.7,11715459.423391119,10972571.038073285,5260939.4260845315,0.49346563806952926,0.9552713722657936,286169.61949210416,40.4,79.54252857142856,29.7,235.6,20.9,96.71358571428534,46
"capital","hardcore","star12","balanced",10,0.4,0,0.6,10918929.997899976,11676136.717899976,8205215.6,0.6847134382796651,0.8275097011654436,1075433.8314399999,47,79.89371428571428,28.9,177.6,24.1,96.63585714285736,52.6
"capital","hardcore","star12","conservative",10,0.4,0,0.6,4499176.757899992,5384352.177899991,3757204.7,0.3705398180223866,0.48423925771578097,1415924.8362399999,34.3,79.45436,11.2,41.7,9.3,95.0814028571427,43.9
"low_comp","hardcore","star12","aggressive",10,0.7,0,0.3,24215704.453650013,22531051.39098,4985718.7,0.3070501728072441,0.9525006549299444,323450.58655999985,62.2,78.6039028571427,29.9,436,19.2,95.81915428571361,81.4
"low_comp","hardcore","star12","balanced",10,0.4,0.1,0.5,11473810.712660002,12057213.31266,7982957,0.661185581858513,0.9660498047126456,1138999.1705799997,51,78.91129428571428,28.4,178.3,24.1,93.43487142857165,61.4
"low_comp","hardcore","star12","conservative",10,0.5,0,0.5,6574556.8595600175,7639963.299560018,4238544.6,0.3654073823571446,0.5462821297429621,1485922.436160001,48.2,79.6557142857143,11.6,69.9,10.5,94.63028571428546,64
"nev_hot","hardcore","star12","aggressive",10,0,0,1,7343813.317441997,7026352.516877806,4412339.794361496,0.4342680386995079,0.9546263614674139,514.9,36.8,79.57852285714287,30,190.4,19.9,97.82818285714261,36.8
